Timestamp,Open,High,Low,Close,Volume
1507334400000,0.108031,0.119,0.106302,0.116,19731.76
1507420800000,0.114702,0.1265,0.099552,0.103999,67866.18
1507507200000,0.101217,0.11,0.091052,0.099891,31063.86
1507593600000,0.098002,0.105099,0.0945,0.097698,16787.07
1507680000000,0.0975,0.10398,0.096001,0.0983,16895.99
1507766400000,0.098414,0.100099,0.0911,0.091406,16046.48
1507852800000,0.091413,0.0945,0.077001,0.085,33310.13
1507939200000,0.0855,0.087989,0.080001,0.080717,11585.53
1508025600000,0.080717,0.084703,0.079101,0.082002,8863.13
1508112000000,0.083289,0.08591,0.07865,0.0851,10244.82
1508198400000,0.085274,0.102284,0.084503,0.099501,29456.9
1508284800000,0.09951,0.1035,0.0925,0.095498,14837.07
1508371200000,0.095499,0.097,0.0894,0.09202,11706.23
1508457600000,0.094359,0.0968,0.0901,0.0917,9903.13
1508544000000,0.0917,0.096,0.08834,0.0894,10623.28
1508630400000,0.091899,0.099,0.091899,0.09649,10354.31
1508716800000,0.096493,0.09877,0.094503,0.0976,7410.63
1508803200000,0.0976,0.105799,0.0958,0.102,19578.55
1508889600000,0.102,0.103025,0.09605,0.096101,23186.05
1508976000000,0.096151,0.098999,0.093,0.094802,10888.86
1509062400000,0.0955,0.098804,0.09421,0.096702,7077.09
1509148800000,0.098492,0.098492,0.092537,0.0926,9155.6
1509235200000,0.093697,0.094,0.086,0.090003,10439.55
1509321600000,0.090003,0.095899,0.088842,0.093309,11743.42
1509408000000,0.094583,0.1071,0.092501,0.09321,17823.22
1509494400000,0.093213,0.0953,0.088,0.091858,17386.17
1509580800000,0.091859,0.094,0.082001,0.086103,34494.61
1509667200000,0.086256,0.09199,0.08511,0.087768,21809.18
1509753600000,0.087938,0.092258,0.086887,0.088071,11090.42
1509840000000,0.088203,0.0921,0.086536,0.088979,9530.93
1509926400000,0.089509,0.0915,0.086101,0.088333,7310.6
1510012800000,0.088555,0.091457,0.086553,0.089858,11008.88
1510099200000,0.0895,0.1125,0.087821,0.1,41030.79
1510185600000,0.100001,0.1059,0.094229,0.09942,26615.85
1510272000000,0.09942,0.102,0.0913,0.094315,19739.05
1510358400000,0.095,0.0985,0.0882,0.090772,16559.18
